NMFS_DNA_ID,BOX_ID,BOX_POSITION,PLATE,PLATE_POS,Sort,SAMPLE_ID,ANALYSIS_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,LATITUDE_F,LONGITUDE_F,HATCHERY,STRAIN,LOCATION_COMMENTS_F
T009511,T100,7E,TGV,7E,67,S040030MIL,MILsp_05,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,678,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,"SamplerNote=LIVER SAMPLE TAKEN , PhysApp=MED",T009511,California,San Francisco ,Sacramento River,,,Mill Creek,,,,,,
T009512,T100,7F,TGV,7F,79,S040031MIL,MILsp_06,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,775,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,"SamplerNote=LIVER SAMPLE TAKEN , PhysApp=MED",T009512,California,San Francisco ,Sacramento River,,,Mill Creek,,,,,,
T009513,T100,7G,TGV,7G,91,S040101MIL,MILsp_07,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,840,,Female,,Adult,Spring,,,9/28/04,,CG,6/7/05,,PhysApp=BRT,T009513,California,San Francisco ,Sacramento River,,,Mill Creek,Upper Ishi Trailhead,,,,,
T009514,T100,7H,TGV,7H,8,S040102MIL,MILsp_08,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,690,,Female,,Adult,Spring,,,9/28/04,,CG,6/7/05,,PhysApp=MED,T009514,California,San Francisco ,Sacramento River,,,Mill Creek,Upper Ishi Trailhead,,,,,
T009515,T100,8A,TGV,8A,20,S040103MIL,MILsp_09,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,700,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=BRT,T009515,California,San Francisco ,Sacramento River,,,Mill Creek,Pape Place,,,,,
T009516,T100,8B,TGV,8B,32,S040104MIL,MILsp_10,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,690,,Male,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=MED,T009516,California,San Francisco ,Sacramento River,,,Mill Creek,Pape Place,,,,,
T009517,T100,8C,TGV,8C,44,S040105MIL,MILsp_11,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,720,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=DRK,T009517,California,San Francisco ,Sacramento River,,,Mill Creek,Pape Place,,,,,
T009518,T100,8D,TGV,8D,56,S040106MIL,MILsp_12,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,740,,,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=MED,T009518,California,San Francisco ,Sacramento River,,,Mill Creek,Pape Place,,,,,
T009519,T100,8E,TGV,8E,68,S040107MIL,MILsp_13,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,780,,,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=BRT,T009519,California,San Francisco ,Sacramento River,,,Mill Creek,Pape Place,,,,,
T009520,T100,8F,TGV,8F,80,S040108MIL,MILsp_14,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,780,,Female,,Adult,Spring,Yes,56352,10/7/04,,CG,6/7/05,,PhysApp=BRT,T009520,California,San Francisco ,Sacramento River,,,Mill Creek,Pape Place,,,,,
T009521,T100,8G,TGV,8G,92,S040109MIL,MILsp_15,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,760,,Female,,Adult,Spring,Yes,56351,10/7/04,,CG,6/7/05,,PhysApp=MED,T009521,California,San Francisco ,Sacramento River,,,Mill Creek,Pape Place,,,,,
T009522,T100,8H,TGV,8H,9,S040110MIL,MILsp_16,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,640,,Male,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=BRT,T009522,California,San Francisco ,Sacramento River,,,Mill Creek,Sooner Place,,,,,
T009523,T100,9A,TGV,9A,21,S040111MIL,MILsp_17,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,600,,,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=BRT,T009523,California,San Francisco ,Sacramento River,,,Mill Creek,Sooner Place,,,,,
T009524,T100,9B,TGV,9B,33,S040112MIL,MILsp_18,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,750,,Male,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=MED,T009524,California,San Francisco ,Sacramento River,,,Mill Creek,Sooner Place,,,,,
T009525,T100,9C,TGV,9C,45,S040113MIL,MILsp_19,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,840,,Male,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=BRT,T009525,California,San Francisco ,Sacramento River,,,Mill Creek,Sooner Place,,,,,
T009526,T100,9D,TGV,9D,57,S040114MIL,MILsp_20,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,720,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=BRT,T009526,California,San Francisco ,Sacramento River,,,Mill Creek,Sooner Place,,,,,
T009527,T100,9E,TGV,9E,69,S040115MIL,MILsp_21,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,740,,Male,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=BRT,T009527,California,San Francisco ,Sacramento River,,,Mill Creek,Sooner Place,,,,,
T009528,T100,9F,TGV,9F,81,S040116MIL,MILsp_22,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,880,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=BRT,T009528,California,San Francisco ,Sacramento River,,,Mill Creek,Sooner Place,,,,,
